ds,date,y_gt
2020-08-12 00:00:00,20200812,24798
2020-08-12 00:30:00,20200812,24727
2020-08-12 01:00:00,20200812,24450
2020-08-12 01:30:00,20200812,24063
2020-08-12 02:00:00,20200812,23711
2020-08-12 02:30:00,20200812,23402
2020-08-12 03:00:00,20200812,23101
2020-08-12 03:30:00,20200812,23065
2020-08-12 04:00:00,20200812,23064
2020-08-12 04:30:00,20200812,23097
2020-08-12 05:00:00,20200812,23113
2020-08-12 05:30:00,20200812,23270
2020-08-12 06:00:00,20200812,24732
2020-08-12 06:30:00,20200812,26106
2020-08-12 07:00:00,20200812,27179
2020-08-12 07:30:00,20200812,28446
2020-08-12 08:00:00,20200812,29925
2020-08-12 08:30:00,20200812,30248
2020-08-12 09:00:00,20200812,30447
2020-08-12 09:30:00,20200812,30161
2020-08-12 10:00:00,20200812,29789
2020-08-12 10:30:00,20200812,29524
2020-08-12 11:00:00,20200812,29683
2020-08-12 11:30:00,20200812,29670
2020-08-12 12:00:00,20200812,29435
2020-08-12 12:30:00,20200812,29179
2020-08-12 13:00:00,20200812,28917
2020-08-12 13:30:00,20200812,28935
2020-08-12 14:00:00,20200812,28964
2020-08-12 14:30:00,20200812,29167
2020-08-12 15:00:00,20200812,29537
2020-08-12 15:30:00,20200812,29833
2020-08-12 16:00:00,20200812,30366
2020-08-12 16:30:00,20200812,31344
2020-08-12 17:00:00,20200812,32066
2020-08-12 17:30:00,20200812,32591
2020-08-12 18:00:00,20200812,32651
2020-08-12 18:30:00,20200812,32794
2020-08-12 19:00:00,20200812,32678
2020-08-12 19:30:00,20200812,32375
2020-08-12 20:00:00,20200812,31755
2020-08-12 20:30:00,20200812,31616
2020-08-12 21:00:00,20200812,31310
2020-08-12 21:30:00,20200812,30532
2020-08-12 22:00:00,20200812,29088
2020-08-12 22:30:00,20200812,27931
2020-08-12 23:00:00,20200812,26620
2020-08-12 23:30:00,20200812,25762
