ds,y_gt
2020-08-06 12:00:00,29724
2020-08-06 12:30:00,29494
2020-08-06 13:00:00,28964
2020-08-06 13:30:00,28609
2020-08-06 14:00:00,28600
2020-08-06 14:30:00,28658
2020-08-06 15:00:00,28652
2020-08-06 15:30:00,28842
2020-08-06 16:00:00,29412
2020-08-06 16:30:00,29807
2020-08-06 17:00:00,30456
2020-08-06 17:30:00,30966
2020-08-06 18:00:00,30649
2020-08-06 18:30:00,30661
2020-08-06 19:00:00,31043
2020-08-06 19:30:00,30704
2020-08-06 20:00:00,30078
2020-08-06 20:30:00,29947
2020-08-06 21:00:00,29957
2020-08-06 21:30:00,29206
2020-08-06 22:00:00,28387
2020-08-06 22:30:00,27189
2020-08-06 23:00:00,25323
2020-08-06 23:30:00,24053
2020-08-07 00:00:00,22939
2020-08-07 00:30:00,22413
2020-08-07 01:00:00,21855
2020-08-07 01:30:00,21759
2020-08-07 02:00:00,21679
2020-08-07 02:30:00,21390
2020-08-07 03:00:00,21174
2020-08-07 03:30:00,20994
2020-08-07 04:00:00,20774
2020-08-07 04:30:00,20711
2020-08-07 05:00:00,21732
2020-08-07 05:30:00,22181
2020-08-07 06:00:00,23221
2020-08-07 06:30:00,24501
2020-08-07 07:00:00,27137
2020-08-07 07:30:00,28001
2020-08-07 08:00:00,28037
2020-08-07 08:30:00,28402
2020-08-07 09:00:00,28475
2020-08-07 09:30:00,28454
2020-08-07 10:00:00,28896
2020-08-07 10:30:00,28625
2020-08-07 11:00:00,28209
2020-08-07 11:30:00,27984
2020-08-07 12:00:00,28466
2020-08-07 12:30:00,28523
2020-08-07 13:00:00,28046
2020-08-07 13:30:00,28176
2020-08-07 14:00:00,28400
2020-08-07 14:30:00,28678
2020-08-07 15:00:00,28232
2020-08-07 15:30:00,28188
2020-08-07 16:00:00,28295
2020-08-07 16:30:00,29135
2020-08-07 17:00:00,30191
2020-08-07 17:30:00,30754
2020-08-07 18:00:00,30806
2020-08-07 18:30:00,30655
2020-08-07 19:00:00,30631
2020-08-07 19:30:00,30267
2020-08-07 20:00:00,30087
2020-08-07 20:30:00,29788
2020-08-07 21:00:00,29662
2020-08-07 21:30:00,29233
2020-08-07 22:00:00,28227
2020-08-07 22:30:00,26661
2020-08-07 23:00:00,25040
2020-08-07 23:30:00,23727
2020-08-08 00:00:00,22758
2020-08-08 00:30:00,22089
2020-08-08 01:00:00,21816
2020-08-08 01:30:00,21391
2020-08-08 02:00:00,21051
2020-08-08 02:30:00,20556
2020-08-08 03:00:00,20655
2020-08-08 03:30:00,20475
2020-08-08 04:00:00,20303
2020-08-08 04:30:00,20156
2020-08-08 05:00:00,20377
2020-08-08 05:30:00,20232
2020-08-08 06:00:00,20775
2020-08-08 06:30:00,21257
2020-08-08 07:00:00,22056
2020-08-08 07:30:00,22783
2020-08-08 08:00:00,23798
2020-08-08 08:30:00,24211
2020-08-08 09:00:00,24566
2020-08-08 09:30:00,24289
2020-08-08 10:00:00,24168
2020-08-08 10:30:00,23857
2020-08-08 11:00:00,23594
2020-08-08 11:30:00,23588
2020-08-08 12:00:00,23616
2020-08-08 12:30:00,23488
2020-08-08 13:00:00,22858
2020-08-08 13:30:00,22425
2020-08-08 14:00:00,22236
2020-08-08 14:30:00,22095
2020-08-08 15:00:00,22305
2020-08-08 15:30:00,22642
2020-08-08 16:00:00,23388
2020-08-08 16:30:00,24092
2020-08-08 17:00:00,24965
2020-08-08 17:30:00,25870
2020-08-08 18:00:00,26455
2020-08-08 18:30:00,26819
2020-08-08 19:00:00,26884
2020-08-08 19:30:00,26788
2020-08-08 20:00:00,26498
2020-08-08 20:30:00,26432
2020-08-08 21:00:00,26803
2020-08-08 21:30:00,26383
2020-08-08 22:00:00,25568
2020-08-08 22:30:00,24350
2020-08-08 23:00:00,23264
2020-08-08 23:30:00,22173
2020-08-09 00:00:00,21151
2020-08-09 00:30:00,20454
2020-08-09 01:00:00,20082
2020-08-09 01:30:00,19896
2020-08-09 02:00:00,19633
2020-08-09 02:30:00,19385
2020-08-09 03:00:00,19186
2020-08-09 03:30:00,19020
2020-08-09 04:00:00,18786
2020-08-09 04:30:00,19119
2020-08-09 05:00:00,19334
2020-08-09 05:30:00,19264
2020-08-09 06:00:00,19600
2020-08-09 06:30:00,19968
2020-08-09 07:00:00,20260
2020-08-09 07:30:00,20656
2020-08-09 08:00:00,21366
2020-08-09 08:30:00,21902
2020-08-09 09:00:00,22397
2020-08-09 09:30:00,22507
2020-08-09 10:00:00,22732
2020-08-09 10:30:00,22733
2020-08-09 11:00:00,22914
2020-08-09 11:30:00,22420
2020-08-09 12:00:00,22327
2020-08-09 12:30:00,22213
2020-08-09 13:00:00,21820
2020-08-09 13:30:00,21348
2020-08-09 14:00:00,21075
2020-08-09 14:30:00,21338
2020-08-09 15:00:00,21841
2020-08-09 15:30:00,22309
2020-08-09 16:00:00,23128
2020-08-09 16:30:00,23951
2020-08-09 17:00:00,25097
2020-08-09 17:30:00,26009
2020-08-09 18:00:00,26703
2020-08-09 18:30:00,27140
2020-08-09 19:00:00,27459
2020-08-09 19:30:00,27292
2020-08-09 20:00:00,27325
2020-08-09 20:30:00,27240
2020-08-09 21:00:00,27864
2020-08-09 21:30:00,27293
2020-08-09 22:00:00,26226
2020-08-09 22:30:00,24962
2020-08-09 23:00:00,23656
2020-08-09 23:30:00,22502
2020-08-10 00:00:00,21817
2020-08-10 00:30:00,21362
2020-08-10 01:00:00,21164
2020-08-10 01:30:00,21127
2020-08-10 02:00:00,20954
2020-08-10 02:30:00,20655
2020-08-10 03:00:00,20348
2020-08-10 03:30:00,20332
2020-08-10 04:00:00,20229
2020-08-10 04:30:00,20508
2020-08-10 05:00:00,20108
2020-08-10 05:30:00,20642
2020-08-10 06:00:00,22930
2020-08-10 06:30:00,24417
2020-08-10 07:00:00,26037
2020-08-10 07:30:00,27130
2020-08-10 08:00:00,28136
