ds,timestamp,y_gt
2020-11-09 00:00:00,2020-11-09 00:00:00,24160
2020-11-09 00:30:00,2020-11-09 00:30:00,24643
2020-11-09 01:00:00,2020-11-09 01:00:00,24668
2020-11-09 01:30:00,2020-11-09 01:30:00,24270
2020-11-09 02:00:00,2020-11-09 02:00:00,23998
2020-11-09 02:30:00,2020-11-09 02:30:00,23903
2020-11-09 03:00:00,2020-11-09 03:00:00,23956
2020-11-09 03:30:00,2020-11-09 03:30:00,23668
2020-11-09 04:00:00,2020-11-09 04:00:00,23423
2020-11-09 04:30:00,2020-11-09 04:30:00,23701
2020-11-09 05:00:00,2020-11-09 05:00:00,23772
2020-11-09 05:30:00,2020-11-09 05:30:00,24983
2020-11-09 06:00:00,2020-11-09 06:00:00,27298
2020-11-09 06:30:00,2020-11-09 06:30:00,29725
2020-11-09 07:00:00,2020-11-09 07:00:00,32284
2020-11-09 07:30:00,2020-11-09 07:30:00,33653
2020-11-09 08:00:00,2020-11-09 08:00:00,34584
2020-11-09 08:30:00,2020-11-09 08:30:00,34910
2020-11-09 09:00:00,2020-11-09 09:00:00,35654
2020-11-09 09:30:00,2020-11-09 09:30:00,35862
2020-11-09 10:00:00,2020-11-09 10:00:00,35880
2020-11-09 10:30:00,2020-11-09 10:30:00,35912
2020-11-09 11:00:00,2020-11-09 11:00:00,36003
2020-11-09 11:30:00,2020-11-09 11:30:00,35943
2020-11-09 12:00:00,2020-11-09 12:00:00,36265
2020-11-09 12:30:00,2020-11-09 12:30:00,36437
2020-11-09 13:00:00,2020-11-09 13:00:00,36581
2020-11-09 13:30:00,2020-11-09 13:30:00,36549
2020-11-09 14:00:00,2020-11-09 14:00:00,36677
2020-11-09 14:30:00,2020-11-09 14:30:00,36798
2020-11-09 15:00:00,2020-11-09 15:00:00,36845
2020-11-09 15:30:00,2020-11-09 15:30:00,37940
2020-11-09 16:00:00,2020-11-09 16:00:00,39768
2020-11-09 16:30:00,2020-11-09 16:30:00,41700
2020-11-09 17:00:00,2020-11-09 17:00:00,42684
2020-11-09 17:30:00,2020-11-09 17:30:00,42578
2020-11-09 18:00:00,2020-11-09 18:00:00,41723
2020-11-09 18:30:00,2020-11-09 18:30:00,40589
2020-11-09 19:00:00,2020-11-09 19:00:00,39044
2020-11-09 19:30:00,2020-11-09 19:30:00,37780
2020-11-09 20:00:00,2020-11-09 20:00:00,36503
2020-11-09 20:30:00,2020-11-09 20:30:00,35008
2020-11-09 21:00:00,2020-11-09 21:00:00,33371
2020-11-09 21:30:00,2020-11-09 21:30:00,31883
2020-11-09 22:00:00,2020-11-09 22:00:00,29692
2020-11-09 22:30:00,2020-11-09 22:30:00,27963
2020-11-09 23:00:00,2020-11-09 23:00:00,26906
2020-11-09 23:30:00,2020-11-09 23:30:00,25736
