ds,timestamp,CCGT,OIL,COAL,NUCLEAR,WIND,PS,NPSHYD,OCGT,OTHER,INTFR,INTIRL,INTNED,INTEW,BIOMASS,INTEM,y
2020-10-31 00:00:00,2020-10-31 00:00:00,5146,0,0,6297,6565,86,487,0,130,1366,238,690,504,1446,688,23643
2020-10-31 00:30:00,2020-10-31 00:30:00,4684,0,0,6282,6991,8,512,0,130,1366,238,690,504,1425,688,23518
2020-10-31 01:00:00,2020-10-31 01:00:00,3989,0,0,6283,7595,0,474,1,144,1368,236,536,504,1407,568,23105
2020-10-31 01:30:00,2020-10-31 01:30:00,3339,0,0,6281,7981,0,452,1,128,1296,236,534,504,1258,564,22574
2020-10-31 02:00:00,2020-10-31 02:00:00,3686,0,0,6281,7966,0,440,1,129,136,236,626,504,1368,298,21671
2020-10-31 02:30:00,2020-10-31 02:30:00,3238,0,0,6286,8265,0,437,1,146,58,170,628,504,1293,296,21322
2020-10-31 03:00:00,2020-10-31 03:00:00,3792,0,0,6281,8807,0,425,1,128,0,80,258,504,1358,4,21638
2020-10-31 03:30:00,2020-10-31 03:30:00,3407,0,0,6285,8482,0,430,1,129,0,82,240,504,1376,0,20936
2020-10-31 04:00:00,2020-10-31 04:00:00,3512,0,0,6280,8638,0,463,1,145,0,82,0,504,1398,0,21023
2020-10-31 04:30:00,2020-10-31 04:30:00,3455,0,0,6278,8650,0,468,1,127,0,82,0,504,1409,0,20974
2020-10-31 05:00:00,2020-10-31 05:00:00,3844,0,0,6273,8793,0,494,0,169,0,82,0,504,1410,0,21569
2020-10-31 05:30:00,2020-10-31 05:30:00,4109,0,0,6275,9061,0,512,0,152,0,82,0,504,1413,0,22108
2020-10-31 06:00:00,2020-10-31 06:00:00,4801,0,0,6271,9403,0,514,0,136,0,82,0,504,1406,0,23117
2020-10-31 06:30:00,2020-10-31 06:30:00,5347,0,0,6271,9474,0,515,0,137,0,82,0,504,1407,0,23737
2020-10-31 07:00:00,2020-10-31 07:00:00,4894,0,0,6269,10248,0,548,0,137,0,82,0,504,1606,0,24288
2020-10-31 07:30:00,2020-10-31 07:30:00,5130,0,0,6267,10334,0,636,0,149,0,82,0,504,1699,0,24801
2020-10-31 08:00:00,2020-10-31 08:00:00,5364,0,0,6210,10279,0,559,0,135,992,82,0,504,1707,0,25832
2020-10-31 08:30:00,2020-10-31 08:30:00,5368,0,0,6034,10246,0,564,0,143,1208,82,0,504,1855,0,26004
2020-10-31 09:00:00,2020-10-31 09:00:00,5565,0,0,5832,10260,282,563,2,187,1456,54,0,504,1859,170,26734
2020-10-31 09:30:00,2020-10-31 09:30:00,6280,0,0,5833,10240,414,584,49,290,1460,14,0,504,1842,176,27686
2020-10-31 10:00:00,2020-10-31 10:00:00,6519,0,0,5830,10181,618,584,50,307,1460,0,172,504,1837,88,28150
2020-10-31 10:30:00,2020-10-31 10:30:00,6833,0,0,5835,10303,546,550,49,299,1460,0,178,504,1833,88,28478
2020-10-31 11:00:00,2020-10-31 11:00:00,6259,0,0,5832,10327,244,549,49,218,1458,64,718,504,1855,714,28791
2020-10-31 11:30:00,2020-10-31 11:30:00,6164,0,0,5838,10892,148,549,53,157,1458,82,734,504,1855,732,29166
2020-10-31 12:00:00,2020-10-31 12:00:00,5975,0,0,5835,10880,352,547,97,260,1458,82,734,504,1857,730,29311
2020-10-31 12:30:00,2020-10-31 12:30:00,5947,0,0,5844,11074,56,528,97,261,1458,82,734,504,1857,732,29174
2020-10-31 13:00:00,2020-10-31 13:00:00,5915,0,0,5835,10895,84,525,97,235,1460,82,540,504,1855,472,28499
2020-10-31 13:30:00,2020-10-31 13:30:00,5575,0,0,5836,10849,0,519,0,135,1460,82,536,504,1853,468,27817
2020-10-31 14:00:00,2020-10-31 14:00:00,5695,0,0,5834,10956,0,526,0,136,1724,82,0,504,1854,300,27611
2020-10-31 14:30:00,2020-10-31 14:30:00,5737,0,0,5827,10960,0,549,0,133,1732,78,0,504,1855,298,27673
2020-10-31 15:00:00,2020-10-31 15:00:00,6078,0,0,5829,10892,0,567,0,132,1786,80,0,504,1839,164,27871
2020-10-31 15:30:00,2020-10-31 15:30:00,6364,0,0,5818,10839,280,622,0,139,1806,74,0,476,1868,188,28474
2020-10-31 16:00:00,2020-10-31 16:00:00,6439,0,0,5823,10589,544,692,1,139,1852,80,564,504,1888,898,30013
2020-10-31 16:30:00,2020-10-31 16:30:00,8565,0,0,5825,10407,842,681,94,233,1856,80,656,496,1883,928,32546
2020-10-31 17:00:00,2020-10-31 17:00:00,9592,0,0,5827,10314,1036,685,98,408,2002,74,962,372,1882,1018,34270
2020-10-31 17:30:00,2020-10-31 17:30:00,9850,0,0,5829,10458,1196,694,98,451,2004,0,966,288,1885,1020,34739
2020-10-31 18:00:00,2020-10-31 18:00:00,9606,0,0,5823,10190,1346,699,98,427,2004,0,968,136,1853,1000,34150
2020-10-31 18:30:00,2020-10-31 18:30:00,9565,0,0,5821,9912,1298,684,98,434,2004,0,968,60,1538,1000,33382
2020-10-31 19:00:00,2020-10-31 19:00:00,9252,0,0,5826,9714,1068,682,95,376,1856,14,856,22,1178,926,31865
2020-10-31 19:30:00,2020-10-31 19:30:00,8765,0,0,5826,9646,1016,682,48,367,1856,76,856,164,1178,926,31406
2020-10-31 20:00:00,2020-10-31 20:00:00,8504,0,0,5830,9275,622,678,0,339,1708,82,852,328,1150,854,30222
2020-10-31 20:30:00,2020-10-31 20:30:00,7797,0,0,5834,9097,490,676,0,217,1706,82,852,470,1123,854,29198
2020-10-31 21:00:00,2020-10-31 21:00:00,7582,0,0,5827,9117,238,662,0,132,1658,82,708,434,1010,818,28268
2020-10-31 21:30:00,2020-10-31 21:30:00,6789,0,0,5830,9197,204,658,0,131,1656,82,700,436,1036,818,27537
2020-10-31 22:00:00,2020-10-31 22:00:00,7288,0,0,5828,9067,22,658,65,148,1608,82,0,504,998,216,26484
2020-10-31 22:30:00,2020-10-31 22:30:00,6656,0,0,5832,9160,0,655,0,137,1608,82,0,504,740,198,25572
2020-10-31 23:00:00,2020-10-31 23:00:00,5788,0,0,5830,9176,0,656,0,130,1506,118,0,504,736,0,24444
